Best_Parent,Worst_Parent,Child_Cost,Status
357.744183706683,484.19844301022465,561.9830853868604,Destructive (Worse than both)
357.79943463397404,482.41031375822746,453.40743456183554,Interpolation (In between)
358.46115946582006,568.4674878515273,602.949629443665,Destructive (Worse than both)
358.7925030371557,1804.0670833908637,872.1649003094428,Interpolation (In between)
359.3683306719238,450.62127098246526,387.1866437946552,Interpolation (In between)
359.5845300515497,495.9295303834199,539.1628279013494,Destructive (Worse than both)
359.59135367443525,1804.0670833908637,937.9979523321487,Interpolation (In between)
359.83322496246365,1804.0670833908637,881.2489948383038,Interpolation (In between)
360.02258411145044,522.9209008250216,622.0216876123659,Destructive (Worse than both)
360.0723045108914,664.1258099342485,487.0649196933442,Interpolation (In between)
360.20190152395946,727.1554234260709,376.16592865438133,Interpolation (In between)
360.22398563395234,1804.0670833908637,1012.4430566180297,Interpolation (In between)
360.41211899866437,405.4919701491825,396.3391577196844,Interpolation (In between)
360.5093691840442,419.0916857830371,377.12850298214244,Interpolation (In between)
360.5144692861323,424.41188699830786,390.95664142109433,Interpolation (In between)
361.041188667905,668.1220822969036,475.55537729186807,Interpolation (In between)
361.4162429207928,1804.0670833908637,939.2939777298549,Interpolation (In between)
361.4763760333994,1804.0670833908637,844.4958312395484,Interpolation (In between)
361.7831682473451,1804.0670833908637,861.1788376510086,Interpolation (In between)
361.7996958987103,1804.0670833908637,972.7138296198322,Interpolation (In between)
362.1253336968931,1804.0670833908637,996.7460711783202,Interpolation (In between)
362.65613681390687,1804.0670833908637,872.3555479776064,Interpolation (In between)
363.0510923219107,1804.0670833908637,804.3179043994901,Interpolation (In between)
363.5081474400049,613.4779832928554,497.81961819415864,Interpolation (In between)
363.77096412377546,570.3366137784615,376.33629344938504,Interpolation (In between)
363.96116556791605,469.6727520698205,421.62224958374577,Interpolation (In between)
363.96250735557544,437.1084213631922,297.11893347575176,Synergy (Better than both)
363.96670175139616,1804.0670833908637,981.541188245645,Interpolation (In between)
363.99111237014887,426.3213332087496,417.38593559699746,Interpolation (In between)
364.2014924388442,823.6570650141621,453.2835733549996,Interpolation (In between)
364.3617000965594,1804.0670833908637,908.2628961259369,Interpolation (In between)
364.4332433083264,1804.0670833908637,892.1521689508584,Interpolation (In between)
365.05494241712995,597.6038486040507,470.66780261073853,Interpolation (In between)
365.19423415093814,1804.0670833908637,902.1161145246406,Interpolation (In between)
365.51082177148425,743.1012683635611,647.5656064034395,Interpolation (In between)
366.39602582907946,587.3065510157594,557.4445666891647,Interpolation (In between)
366.4993314797561,461.917653930754,480.6726850041375,Destructive (Worse than both)
366.6031369188047,523.5179600358463,312.0972715479632,Synergy (Better than both)
366.63151714583364,1804.0670833908637,813.1177293429216,Interpolation (In between)
366.78558104719,1804.0670833908637,958.1141200201263,Interpolation (In between)
366.9308513061808,1804.0670833908637,1035.5326780469045,Interpolation (In between)
366.9570800545481,547.3524317533245,593.2027796945405,Destructive (Worse than both)
366.96732944837356,1804.0670833908637,880.6798136293421,Interpolation (In between)
367.1443661905033,384.7197055425983,392.0334586114494,Destructive (Worse than both)
367.2168623410196,478.0153323786684,348.7448005201941,Synergy (Better than both)
367.44249418453296,1804.0670833908637,952.2881607784427,Interpolation (In between)
367.7453402347194,1804.0670833908637,940.9161479639773,Interpolation (In between)
368.8225556321204,610.6169437992968,619.349425948435,Destructive (Worse than both)
368.88384539225876,380.1296670934709,393.57348168152083,Destructive (Worse than both)
369.07019832837517,1804.0670833908637,1018.5199597118919,Interpolation (In between)
369.94107724549747,451.2844839120113,519.0934442882152,Destructive (Worse than both)
370.07361581115333,439.73621322151143,358.32584818328473,Synergy (Better than both)
370.21994630758684,494.39382691211455,407.4265369512424,Interpolation (In between)
370.24036611116753,1804.0670833908637,905.9417586778247,Interpolation (In between)
370.5952202132808,1804.0670833908637,1023.8793412104656,Interpolation (In between)
370.7410957986731,1804.0670833908637,876.8473776357123,Interpolation (In between)
371.3471529825505,754.9063009531769,646.2477852237053,Interpolation (In between)
371.56977262542995,1804.0670833908637,911.4730087181695,Interpolation (In between)
371.5730141615087,1804.0670833908637,942.432712096883,Interpolation (In between)
371.7356531019402,789.5643620754627,547.2459483134043,Interpolation (In between)
371.8239106873559,673.0252762706846,485.0571417939966,Interpolation (In between)
372.19009273653273,1804.0670833908637,966.8529440367067,Interpolation (In between)
372.24408425433535,412.0478592765098,289.90660876064396,Synergy (Better than both)
372.339660285646,641.6971860176875,377.1252124976049,Interpolation (In between)
373.0302022094352,1804.0670833908637,938.2590691111011,Interpolation (In between)
373.06348248420346,536.413478815811,421.30888369388515,Interpolation (In between)
373.5293886934154,944.2218366960589,683.275170935884,Interpolation (In between)
373.5676504307987,1804.0670833908637,883.7573501928371,Interpolation (In between)
373.5855849733624,703.6943172356077,530.1282395563337,Interpolation (In between)
373.84188095380375,1804.0670833908637,1025.4863937517844,Interpolation (In between)
373.9815846604001,518.9088116391399,411.2429294309297,Interpolation (In between)
374.623191622573,1804.0670833908637,955.8132666299343,Interpolation (In between)
374.8185099259043,1804.0670833908637,946.6928987604846,Interpolation (In between)
375.0756424572908,542.3621405702552,358.9177158160864,Synergy (Better than both)
375.07742097576494,508.65371978551764,278.24346464908234,Synergy (Better than both)
375.8179621817964,752.6507098014067,752.8430732123772,Destructive (Worse than both)
375.84018669231705,441.58202103369604,398.0445006244343,Interpolation (In between)
375.862390257019,1804.0670833908637,967.4194878924254,Interpolation (In between)
375.9716867004262,1804.0670833908637,892.6537044751806,Interpolation (In between)
376.79873171591026,402.82840185963266,408.72755144748464,Destructive (Worse than both)
376.93523584831155,578.1456716203611,574.7792256000382,Interpolation (In between)
377.3637480509885,1804.0670833908637,918.8352002161732,Interpolation (In between)
377.8430060831567,1804.0670833908637,877.8178462646974,Interpolation (In between)
377.99641767535354,554.8440136170234,430.9322842772681,Interpolation (In between)
378.4467300203937,398.3744545631106,357.9583858224029,Synergy (Better than both)
378.4680469931373,1804.0670833908637,871.35796633464,Interpolation (In between)
378.48732533962124,1804.0670833908637,918.4506715583786,Interpolation (In between)
378.71603969160117,1804.0670833908637,962.630488988691,Interpolation (In between)
379.3858287747148,704.3424164033097,462.3815934568204,Interpolation (In between)
