route_count,total_fleet,sample_size,route_index,route_id,allocation_mean,allocation_std,allocation_cv,demand_mean,demand_std,demand_cv
16,160,350,1,R001,6.28571429,1.25356634,0.19943101,4612.00000000,1581.12765666,0.34282907
16,160,350,2,R002,13.14285714,0.69006556,0.05250499,18898.14285714,2535.53238516,0.13416834
16,160,350,3,R003,5.14285714,0.69006556,0.13417941,3057.71428571,844.48124398,0.27618056
16,160,350,4,R004,12.28571429,1.11269728,0.09056838,17182.00000000,3644.03526328,0.21208446
16,160,350,5,R005,2.14285714,0.69006556,0.32203059,652.14285714,461.92258679,0.70831503
16,160,350,6,R006,4.85714286,1.06904497,0.22009749,2711.85714286,1069.77371884,0.39448012
16,160,350,7,R007,6.57142857,1.13389342,0.17254900,5001.71428571,1245.49785418,0.24901419
16,160,350,8,R008,5.00000000,1.15470054,0.23094011,2978.28571429,1288.55548507,0.43265006
16,160,350,9,R009,13.00000000,0.81649658,0.06280743,19470.00000000,2839.81173085,0.14585576
16,160,350,10,R010,15.14285714,0.37796447,0.02495992,26131.14285714,1082.50533926,0.04142587
16,160,350,11,R011,10.57142857,0.97590007,0.09231487,12568.00000000,2634.77380433,0.20964145
16,160,350,12,R012,11.28571429,0.75592895,0.06698105,14411.28571429,1985.18896786,0.13775238
16,160,350,13,R013,7.28571429,0.95118973,0.13055545,6026.57142857,1794.73413603,0.29780351
16,160,350,14,R014,13.71428571,1.11269728,0.08113418,21057.14285714,3684.42846896,0.17497286
16,160,350,15,R015,11.71428571,0.75592895,0.06453052,16250.28571429,2103.04396168,0.12941581
16,160,400,0,R000,21.42857143,0.53452248,0.02494438,60189.71428571,4119.07023143,0.06843479
16,160,400,1,R001,6.00000000,1.41421356,0.23570226,4964.57142857,2007.91341589,0.40444849
16,160,400,2,R002,13.00000000,1.00000000,0.07692308,22079.71428571,2966.03426111,0.13433300
16,160,400,3,R003,5.14285714,0.69006556,0.13417941,3418.57142857,961.92010360,0.28138072
16,160,400,4,R004,11.57142857,1.27241802,0.10996205,17606.57142857,3689.71990162,0.20956493
16,160,400,5,R005,2.28571429,0.48795004,0.21347814,652.85714286,204.25590858,0.31286463
16,160,400,6,R006,5.57142857,0.78679579,0.14121976,4136.71428571,939.14708012,0.22702730
16,160,400,7,R007,7.42857143,0.78679579,0.10591482,7189.42857143,1234.82142530,0.17175516
